Game,Winner,Result,Duration
1,Agent 1 (Neural=Noir),1.0,1039.8s
2,Agent 1 (Neural=Blanc),0.0,1035.3s
3,Agent 1 (Neural=Noir),1.0,959.9s
4,Agent 1 (Neural=Blanc),0.0,829.1s
5,Agent 1 (Neural=Noir),1.0,876.4s
6,Agent 1 (Neural=Blanc),0.0,815.1s
7,Agent 1 (Neural=Noir),1.0,1080.5s
8,Agent 1 (Neural=Blanc),0.0,958.1s
9,Agent 1 (Neural=Noir),1.0,1032.0s
10,Agent 1 (Neural=Blanc),0.0,853.3s
11,Agent 1 (Neural=Noir),1.0,1086.8s
12,Agent 1 (Neural=Blanc),0.0,867.0s
13,Agent 1 (Neural=Noir),1.0,963.8s
14,Agent 1 (Neural=Blanc),0.0,927.2s
15,Agent 1 (Neural=Noir),1.0,983.8s
16,Agent 1 (Neural=Blanc),0.0,1346.7s
17,Agent 1 (Neural=Noir),1.0,746.5s
18,Agent 1 (Neural=Blanc),0.0,956.7s
19,Agent 1 (Neural=Noir),1.0,1203.0s
20,Agent 1 (Neural=Blanc),0.0,1059.2s
21,Agent 1 (Neural=Noir),1.0,980.8s
22,Agent 1 (Neural=Blanc),0.0,711.5s
23,Agent 1 (Neural=Noir),1.0,1131.8s
24,Agent 1 (Neural=Blanc),0.0,835.6s
25,Agent 1 (Neural=Noir),1.0,908.0s
26,Agent 1 (Neural=Blanc),0.0,943.6s
27,Agent 1 (Neural=Noir),1.0,1006.2s
28,Agent 1 (Neural=Blanc),0.0,893.5s
29,Agent 1 (Neural=Noir),1.0,931.7s
30,Agent 1 (Neural=Blanc),0.0,861.4s
31,Agent 1 (Neural=Noir),1.0,1192.7s
32,Agent 1 (Neural=Blanc),0.0,736.5s
33,Agent 1 (Neural=Noir),1.0,985.2s
34,Agent 1 (Neural=Blanc),0.0,981.1s
35,Agent 1 (Neural=Noir),1.0,1087.7s
36,Agent 1 (Neural=Blanc),0.0,647.8s
37,Agent 1 (Neural=Noir),1.0,1026.8s
38,Agent 1 (Neural=Blanc),0.0,907.8s
39,Agent 1 (Neural=Noir),1.0,1035.3s
40,Agent 1 (Neural=Blanc),0.0,852.4s
41,Agent 1 (Neural=Noir),1.0,941.8s
42,Agent 1 (Neural=Blanc),0.0,819.4s
43,Agent 1 (Neural=Noir),1.0,993.6s
44,Agent 1 (Neural=Blanc),0.0,793.1s
45,Agent 2 (MCTS Classic=Blanc),0.0,485.5s
46,Agent 1 (Neural=Blanc),0.0,904.8s
47,Agent 1 (Neural=Noir),1.0,988.3s
48,Agent 1 (Neural=Blanc),0.0,955.2s
49,Agent 1 (Neural=Noir),1.0,1089.0s
50,Agent 1 (Neural=Blanc),0.0,797.0s
51,Agent 1 (Neural=Noir),1.0,958.0s
52,Agent 1 (Neural=Blanc),0.0,751.9s
53,Agent 1 (Neural=Noir),1.0,1236.7s
54,Agent 1 (Neural=Blanc),0.0,957.5s
55,Agent 1 (Neural=Noir),1.0,824.1s
56,Agent 1 (Neural=Blanc),0.0,1239.3s
57,Agent 1 (Neural=Noir),1.0,966.4s
58,Agent 1 (Neural=Blanc),0.0,988.2s
59,Agent 1 (Neural=Noir),1.0,1034.1s
60,Agent 1 (Neural=Blanc),0.0,833.3s
61,Agent 1 (Neural=Noir),1.0,1095.5s
62,Agent 1 (Neural=Blanc),0.0,1059.2s
63,Agent 2 (MCTS Classic=Blanc),0.0,573.2s
64,Agent 1 (Neural=Blanc),0.0,1145.5s
65,Agent 1 (Neural=Noir),1.0,996.4s
66,Agent 1 (Neural=Blanc),0.0,893.5s
67,Agent 1 (Neural=Noir),1.0,1019.6s
68,Agent 1 (Neural=Blanc),0.0,784.8s
69,Agent 1 (Neural=Noir),1.0,1028.9s
70,Agent 1 (Neural=Blanc),0.0,845.8s
71,Agent 1 (Neural=Noir),1.0,811.7s
72,Agent 1 (Neural=Blanc),0.0,956.6s
73,Agent 1 (Neural=Noir),1.0,1099.3s
74,Agent 1 (Neural=Blanc),0.0,841.4s
75,Agent 1 (Neural=Noir),1.0,1033.5s
76,Agent 1 (Neural=Blanc),0.0,800.5s
77,Agent 1 (Neural=Noir),1.0,953.4s
78,Agent 2 (MCTS Classic=Noir),1.0,900.1s
79,Agent 1 (Neural=Noir),1.0,982.3s
80,Agent 1 (Neural=Blanc),0.0,956.0s
81,Agent 1 (Neural=Noir),1.0,995.6s
82,Agent 1 (Neural=Blanc),0.0,687.5s
83,Agent 2 (MCTS Classic=Blanc),0.0,427.4s
84,Agent 1 (Neural=Blanc),0.0,860.5s
85,Agent 1 (Neural=Noir),1.0,1288.2s
86,Agent 1 (Neural=Blanc),0.0,859.8s
87,Agent 1 (Neural=Noir),1.0,1072.5s
88,Agent 1 (Neural=Blanc),0.0,1001.8s
89,Agent 1 (Neural=Noir),1.0,1175.7s
90,Agent 1 (Neural=Blanc),0.0,993.8s
91,Agent 1 (Neural=Noir),1.0,1049.4s
92,Agent 1 (Neural=Blanc),0.0,905.0s
93,Agent 1 (Neural=Noir),1.0,1066.0s
94,Agent 1 (Neural=Blanc),0.0,802.1s
95,Agent 1 (Neural=Noir),1.0,1005.2s
96,Agent 1 (Neural=Blanc),0.0,1005.0s
97,Agent 1 (Neural=Noir),1.0,966.2s
98,Agent 1 (Neural=Blanc),0.0,900.2s
99,Agent 1 (Neural=Noir),1.0,1145.4s
100,Agent 1 (Neural=Blanc),0.0,913.6s
