Policy Training
Epoch,Loss
1,2.2171
2,2.2489
3,2.2307
4,2.1937
5,2.2221
6,2.1817
7,2.2130
8,2.2145
9,2.1892
10,2.1705
11,2.2146
12,2.1801
13,2.1665
14,2.1795
15,2.1722
16,2.1521
17,2.1636
18,2.1781
19,2.1690
20,2.1755
21,2.1591
22,2.1399
23,2.1459
24,2.1335
25,2.1204

Value Training
Epoch,Loss
1,0.2510
2,0.2501
3,0.2511
4,0.2524
5,0.2541
6,0.2486
7,0.2498
8,0.2494
9,0.2495
10,0.2514
11,0.2503
12,0.2497
13,0.2495
14,0.2466
15,0.2491
16,0.2481
17,0.2503
18,0.2479
19,0.2488
20,0.2468
21,0.2484
22,0.2481
23,0.2471
24,0.2475
25,0.2486
