Epoch,Train Loss,Val Loss,Learning Rate,Pred Entropy,Target Entropy
1,3.3051,2.8190,0.00050000,4.0391,0.9969
2,2.7440,2.6650,0.00050000,3.7168,0.9969
3,2.6248,2.5972,0.00050000,3.6633,0.9969
4,2.5445,2.5123,0.00050000,3.7569,0.9969
5,2.4948,2.4819,0.00050000,3.5159,0.9969
6,2.4560,2.4772,0.00050000,3.5103,0.9969
7,2.4246,2.4432,0.00050000,3.5739,0.9969
8,2.3993,2.3856,0.00050000,3.4435,0.9969
9,2.3778,2.3768,0.00050000,3.5012,0.9969
10,2.3577,2.3895,0.00050000,3.4542,0.9969
11,2.3429,2.3677,0.00050000,3.4888,0.9969
12,2.3274,2.3444,0.00050000,3.4491,0.9969
13,2.3140,2.3265,0.00050000,3.2973,0.9969
14,2.3009,2.3166,0.00050000,3.3649,0.9969
15,2.2912,2.3119,0.00050000,3.5072,0.9969
16,2.2808,2.3073,0.00050000,3.4848,0.9969
17,2.2718,2.3059,0.00050000,3.4134,0.9969
18,2.2643,2.2928,0.00050000,3.5218,0.9969
19,2.2570,2.2810,0.00050000,3.3314,0.9969
20,2.2489,2.2755,0.00050000,3.3232,0.9969
21,2.2427,2.2662,0.00050000,3.3436,0.9969
22,2.2357,2.2614,0.00050000,3.2732,0.9969
23,2.2306,2.2500,0.00050000,3.3964,0.9969
24,2.2263,2.2551,0.00050000,3.3376,0.9969
25,2.2211,2.2430,0.00050000,3.2652,0.9969
26,2.2158,2.2443,0.00050000,3.4038,0.9969
27,2.2120,2.2466,0.00050000,3.2998,0.9969
28,2.2076,2.2410,0.00050000,3.4154,0.9969
29,2.2042,2.2571,0.00050000,3.2777,0.9969
30,2.1998,2.2308,0.00050000,3.2122,0.9969
31,2.1967,2.2343,0.00050000,3.2380,0.9969
32,2.1938,2.2255,0.00050000,3.2365,0.9969
33,2.1903,2.2359,0.00050000,3.1669,0.9969
34,2.1877,2.2297,0.00050000,3.1378,0.9969
35,2.1855,2.2263,0.00050000,3.2074,0.9969
36,2.1823,2.2172,0.00050000,3.2930,0.9969
37,2.1802,2.2177,0.00050000,3.1992,0.9969
38,2.1771,2.2120,0.00050000,3.1841,0.9969
39,2.1746,2.2250,0.00050000,3.1861,0.9969
40,2.1738,2.2047,0.00050000,3.1655,0.9969
41,2.1710,2.2090,0.00050000,3.1358,0.9969
42,2.1690,2.2207,0.00050000,3.2028,0.9969
43,2.1662,2.2138,0.00050000,2.9650,0.9969
44,2.1644,2.2074,0.00050000,3.2004,0.9969
45,2.1621,2.2113,0.00050000,3.0764,0.9969
46,2.1617,2.2019,0.00050000,3.2564,0.9969
47,2.1583,2.1985,0.00050000,3.1115,0.9969
48,2.1568,2.2160,0.00050000,3.0422,0.9969
49,2.1550,2.1975,0.00050000,3.2676,0.9969
