Epoch,Train Loss,Val Loss,MSE,MAE,R²,Learning Rate
1,0.114492,0.099337,0.099337,0.236307,0.548540,0.000300
2,0.093859,0.116279,0.116279,0.266156,0.496699,0.000300
3,0.090450,0.092141,0.092141,0.213116,0.578596,0.000300
4,0.088404,0.088315,0.088315,0.228084,0.593062,0.000300
5,0.086890,0.088320,0.088320,0.230438,0.592976,0.000300
6,0.085863,0.092260,0.092260,0.215564,0.578291,0.000300
7,0.084923,0.083658,0.083658,0.203149,0.611707,0.000300
8,0.084414,0.086460,0.086460,0.230113,0.601539,0.000300
9,0.083872,0.091176,0.091176,0.220863,0.586657,0.000300
10,0.083423,0.085770,0.085770,0.217310,0.602398,0.000300
11,0.082895,0.083522,0.083522,0.213298,0.612668,0.000300
12,0.082367,0.084698,0.084698,0.229054,0.614537,0.000300
13,0.081918,0.081215,0.081215,0.197077,0.623104,0.000300
14,0.081367,0.090367,0.090367,0.217154,0.585734,0.000300
15,0.080958,0.082581,0.082581,0.202748,0.616519,0.000300
16,0.080771,0.082303,0.082303,0.218704,0.619635,0.000300
17,0.080336,0.081429,0.081429,0.197732,0.621911,0.000300
18,0.079741,0.083041,0.083041,0.199976,0.615208,0.000300
19,0.079510,0.087133,0.087133,0.215168,0.610895,0.000300
20,0.079060,0.080056,0.080056,0.210930,0.629261,0.000300
21,0.078582,0.084900,0.084900,0.222937,0.612269,0.000300
22,0.077993,0.079103,0.079103,0.204963,0.632846,0.000300
23,0.077865,0.084830,0.084830,0.218514,0.623809,0.000300
24,0.077494,0.078599,0.078599,0.204377,0.636649,0.000300
25,0.077033,0.081120,0.081120,0.224780,0.632867,0.000300
26,0.076602,0.081685,0.081685,0.208105,0.629913,0.000300
27,0.076383,0.082489,0.082489,0.216197,0.630266,0.000300
28,0.075927,0.080150,0.080150,0.219845,0.634629,0.000300
29,0.075835,0.077821,0.077821,0.199675,0.638238,0.000300
30,0.075548,0.095186,0.095186,0.207630,0.575898,0.000300
31,0.075200,0.083015,0.083015,0.214751,0.616234,0.000300
32,0.074996,0.084014,0.084014,0.213860,0.628206,0.000300
33,0.074661,0.077567,0.077567,0.207764,0.645738,0.000300
34,0.074303,0.078168,0.078168,0.213351,0.646243,0.000300
35,0.074337,0.083121,0.083121,0.211179,0.629570,0.000300
36,0.073903,0.077214,0.077214,0.205778,0.646872,0.000300
37,0.073670,0.083588,0.083588,0.220982,0.624096,0.000300
38,0.073584,0.079472,0.079472,0.204402,0.642667,0.000300
39,0.073316,0.077432,0.077432,0.195468,0.640113,0.000300
40,0.072866,0.076323,0.076323,0.208092,0.650589,0.000300
41,0.072915,0.076940,0.076940,0.198543,0.642318,0.000300
42,0.072558,0.079308,0.079308,0.207845,0.633684,0.000300
43,0.072393,0.075381,0.075381,0.196921,0.649935,0.000300
44,0.072300,0.076585,0.076585,0.201003,0.644412,0.000300
45,0.072061,0.075769,0.075769,0.201920,0.650944,0.000300
46,0.071894,0.078586,0.078586,0.217272,0.646198,0.000300
47,0.071751,0.079346,0.079346,0.209763,0.641885,0.000300
48,0.071672,0.078762,0.078762,0.212365,0.646402,0.000300
49,0.071442,0.075997,0.075997,0.204050,0.655225,0.000300
50,0.071426,0.074999,0.074999,0.198358,0.659453,0.000300
51,0.071177,0.078741,0.078741,0.202717,0.636824,0.000300
52,0.071039,0.074060,0.074060,0.203630,0.660511,0.000300
53,0.070946,0.073869,0.073869,0.199345,0.659383,0.000300
54,0.070851,0.075319,0.075319,0.194033,0.649929,0.000300
55,0.070549,0.074457,0.074457,0.201835,0.660279,0.000300
56,0.070397,0.074026,0.074026,0.197894,0.659857,0.000300
